,produc_name,alcholicity,capacity,price,keywords
103,오계리와인 2022 호랑이와인 복숭아 500ml 7%+화이트 500ml 13%,화이트,부드러움,51000,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
104,[조은술세종] 유기농 이도 25도 375ml 유기농 우리쌀 소주,25%,375ml,14000,"지인선물,명절선물,설선물,추석선물,가족모임,술안주,차례,제사,친구,부모님,"
105,[조은술세종] 유기농 이도 32도 375ml 유기농 우리쌀 소주,32%,375ml,20000,"지인선물,명절선물,설선물,추석선물,가족모임,술안주,차례,제사,친구,부모님,"
106,[조은술세종] 유기농 이도 22도 375ml 유기농 우리쌀,22%,375ml,13000,"지인선물,명절선물,설선물,추석선물,가족모임,술안주,차례,제사,친구,부모님,"
107,사곡양조 밤꽃향기 13.5도 375ml 공주밤약주,13.5%,375ml,7500,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
108,조정형명인 전주 이강주 특3호 25도 1000ml 전통주 선물용술,25%,1000ml,42900,"지인선물,명절선물,설선물,추석선물,가족모임,냠냠맛있는,"
109,민속주 궁중술 왕주 13도 700ml 남상란 명인 약주,13%,700ml,12000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
110,식품명인13호 남상란 빚은 민속주 왕주 13도 375ml 3병 세트+전용잔 2ea,13%,375ml,27400,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
111,맛있는술 전통주 홍삼명주 14도 375ml 2병 전통주선물 우리술,14%,750ml,36500,"전통주선물,설선물,추석선물,명절선물,지인선물,연말모임,부모님생신,특별선물,외국인선물,"
112,[제주샘주] 제주샘 미니어쳐 3종세트 (고소리술+니모메+오메기술 3종),29%,80ml,19000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
