index,제품명,keyword
134,르깔롱,향기 목넘김 기타주류 과일류
135,마셔블랑,증류주 귤
136,마주소곡주,담백 약주/청주 쌀 찹쌀 밀 선물
137,마주소곡화주,향기 목넘김 증류주 쌀 찹쌀 밀 선물
138,막시모40,향기 목넘김 증류주 오미자 베리류
139,만강에비친달,담백 탁주 쌀 선물
140,맑은내일Winery단감명작,탄닌감 과실주 과일류
141,맑은내일발효막걸리,탁주 쌀 탄산
142,맑은내일우포,담백 약주/청주 쌀 홈술
143,맑은문희주,약주/청주 쌀 찹쌀 파티
144,맑은술해밀,약주/청주 쌀
145,매실막걸리,탁주 쌀
146,매실원주15,기타주류 꿀
147,매실향기담은술,담백 약주/청주 쌀
148,머루이야기,과실주 머루 소용량
149,머르드서드라이,과실주 머루
150,머르드서스위트,과실주 머루
151,메로니아,기타주류 쌀 과일류
152,메밀로,향기 목넘김 증류주 쌀 밀 선물
153,면천두견주,약주/청주 쌀 찹쌀 꽃 선물
154,명가원복분자술,과실주 복분자
155,명술,기타주류 삼
156,명인안동소주22,증류주 쌀
157,명인안동소주양반탈,증류주 쌀 선물
158,명인안동소주호리병,증류주 쌀 선물
159,명인홍삼주,약주/청주 쌀 삼 선물
160,명작복분자,과실주 복분자
161,명품진도홍주,향기 증류주 쌀 보리
162,모월로,향기 증류주 쌀
163,모월연,약주/청주 쌀 선물
164,모월인,향기 목넘김 증류주 쌀 파티
165,모월청,약주/청주 쌀
166,모을동주소주,향기 목넘김 증류주 쌀
167,모을동주약주,약주/청주 쌀
168,무주구천동머루와인,과실주 머루
169,무주구천동산머루주,과실주 머루 가성비
170,문경바람백자25,향기 목넘김 증류주 사과 과일류
171,문경바람백자40,향기 목넘김 증류주 사과 과일류
172,문경바람오크,향기 목넘김 증류주 사과 과일류
173,문경주조오미자생막걸리,담백 탄산 탁주 오미자
174,문배술헤리티지23,증류주 쌀
175,문배술헤리티지25,증류주 쌀 선물
176,문배술헤리티지40,증류주 쌀 선물
177,문희문경오미자수제전통주,탁주 쌀 찹쌀 오미자
178,문희햇찹쌀수제전통주,탁주 쌀 찹쌀
179,미르25,증류주 쌀 파티
180,미르40,증류주 쌀
181,미생막걸리,탁주 쌀 탄산
182,미소생막걸리,탁주 쌀
183,미소아이스,과실주 포도
184,미인약주,약주/청주 쌀 찹쌀 선물
185,미인탁주,탁주 쌀 찹쌀 무감미료
186,민속주안동소주,증류주 쌀
