index,제품명,단맛,신맛,청량감,바디감,도수,용량,가격,keyword,제조사,원재료
54,그랑꼬또화이트와인,3.0,3.0,3.0,2.0,12.0,750ml,40000,과실주 포도  저도수,그린영농조합법인,포도
55,그랑티그르CE2002,3.0,2.0,2.0,3.0,12.0,750ml,40000,과실주 포도  저도수,월류원(오드린),포도
56,그랑티그르M1988,3.0,3.0,2.0,3.0,12.0,750ml,40000,과실주 포도 오미자  저도수,월류원(오드린),"포도,오미자"
57,그랑티그르S1974,1.0,3.0,2.0,4.0,12.0,750ml,40000,과실주 포도  저도수,월류원,포도
58,금산인삼주,1.0,4.0,2.0,4.0,12.5,375ml,4000,약주/청주 쌀 삼 선물 추천 가족 부모님 저도수,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
59,금산인삼주수삼단본23,1.0,0.6,1.8,3.0,23.0,720ml,32000,향기 증류주 쌀 삼 복날 커플 디저트 친구 명절 안주 부모님 선물 파티 가족,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
60,금산인삼주수삼단본43,1.0,1.0,1.6,4.0,43.0,720ml,42000,향기 증류주 쌀 삼 삼(蔘)류 선물 커플 명절 부모님,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
61,금이산농원복숭아와인,3.0,2.0,2.0,3.0,12.0,500ml,20000,탄닌감 과실주 복숭아 커플 디저트 친구 선물 기념일 파티 추천 저도수,영농조합법인금이산농원,"복숭아,백설탕,효모,메타중아황산칼륨"
62,금이산농원사과와인,3.0,2.0,2.0,3.0,12.0,500ml,20000,과실주 사과  저도수,영농조합법인금이산농원,"사과,백설탕,효모,메타중아황산칼륨"
63,금이산농원오가피와인,3.0,2.0,2.0,3.0,12.0,500ml,20000,과실주 오가피 이색전통주  저도수,영농조합법인금이산농원,"오가피열매,백설탕,효모,메타중아황산칼륨"
64,금정산성막걸리,1.0,3.0,2.0,3.0,8.0,750ml,1900,탁주 밀 홈술  저도수,(유)금정산성토산주,"백미,밀누룩,정제수,아스파탐"
65,기다림16,2.0,4.0,2.0,3.0,9.0,750ml,11000,탁주 쌀 찹쌀 무감미료  저도수,농업회사법인(주)제이케이크래프트,"찹쌀,흑미,곡자,정제수"
66,기다림25,2.0,4.0,2.0,2.0,8.0,750ml,9900,탁주 쌀 찹쌀 무감미료  저도수,농업회사법인(주)제이케이크래프트,"백미,찹쌀,곡자,정제수"
67,기다림34,3.0,3.0,3.0,3.0,12.0,500ml,15000,탁주 쌀 찹쌀 무감미료  저도수,농업회사법인(주)제이케이크래프트,"멥쌀,찹쌀,곡자,정제수"
68,기다림맑은술,4.0,3.0,3.0,3.0,15.0,500ml,25000,약주/청주 쌀 찹쌀 홈술  저도수,농업회사법인(주)제이케이크래프트,"멥쌀,찹쌀,곡자,정제수"
69,김천과하주16,1.0,2.0,1.0,2.0,16.0,700ml,20000,약주/청주 쌀 찹쌀 ,김천과하주,"찹쌀,누룩,샘물,황국잎"
70,김천과하주23,1.0,0.6,1.8,2.0,23.0,700ml,22000,기타주류 쌀 고문헌 ,김천과하주,"멥쌀,누룩,샘물,황국잎"
71,김포막걸리,2.0,2.0,3.0,1.0,6.0,750ml,1200,탁주 쌀  저도수,김포양조,"쌀,누룩,정제수"
72,김포별주,3.0,1.0,1.0,3.0,13.0,500ml,4000,약주/청주 쌀  저도수,김포양조,"쌀,옥수수전분,국,효모,젖산,효소제,정제수"
73,김포약주,1.0,2.0,1.0,2.0,11.0,750ml,10000,약주/청주 밀  저도수,김포양조,"옥수수전분,밀,국,효모,젖산,효소제,정제수"
74,김포예주,2.0,1.0,1.0,4.0,13.0,750ml,15000,약주/청주 쌀  저도수,김포양조,"국내산쌀,국,효모,젖산,정제수"
75,김포특주,4.0,4.0,2.0,2.0,15.0,375ml,3000,담백 약주/청주 쌀  저도수,김포금쌀탁주영농조합법인,"국내산쌀,효모,정제효소,정제수,프락토올리고당"
76,까메오막걸리,3.0,1.0,2.0,4.0,6.0,550ml,5000,탁주 쌀 혼술  저도수,낙천,"정제수,쌀,효모,누룩,과당등"
77,나루생막걸리11.5,4.0,1.0,1.0,5.0,11.5,500ml,11000,탁주 쌀 파티 디저트 추천 안주 부모님 저도수,한강주조,"쌀,국,효모,정제수"
78,나루생막걸리6,3.0,3.0,2.0,2.0,6.0,935ml,7000,탁주 쌀 파티 복날 디저트 친구 캠핑 안주 선물 파티 추천 저도수,한강주조,"쌀,국,효모,정제수"
79,남산애레드와인,3.0,3.0,3.0,2.0,14.0,750ml,45000,과실주 포도  저도수,예인화원,포도
80,남산애포트와인,3.0,3.0,2.0,3.0,18.5,750ml,55000,과실주 포도 ,예인화원,포도
81,내장산복분자주,1.0,3.0,1.6,2.0,16.0,360ml,6000,목넘김 과실주 복분자 선물 친구 부모님,내장산복분자영농조합,"복분자,주정,정제수,설탕등"
82,녹고의눈물,2.0,2.4,1.6,3.0,16.0,500ml,23000,기타주류 오가피 커플 친구 명절 반주 안주 부모님 선물 추천,농업회사법인(주)토향,섬오가피
83,녹천소곡화주,2.0,0.8,1.8,3.0,41.0,500ml,22000,향기 기타주류 쌀 찹쌀 ,녹천주조장,"찹쌀,누룩,백미,정제수"
84,녹천한산소곡주살균,4.0,1.0,1.0,2.0,16.0,750ml,12000,약주/청주 쌀 찹쌀 복날 커플 친구 명절 안주 선물 가족,녹천주조장,"찹쌀,누룩,백미,정제수"
85,녹천한산소곡주생,4.0,1.0,1.0,2.0,16.0,750ml,12000,약주/청주 쌀 찹쌀 친구 명절 안주 부모님 선물 가족,녹천주조장,"찹쌀,누룩,백미,정제수"
86,녹파주,3.0,2.0,2.0,3.0,15.0,375ml,35000,담백 약주/청주 쌀 찹쌀 선물 커플 명절 선물 추천 가족 저도수,농업회사법인(주)솔송주,"국내산찹쌀,멥쌀,누룩,정제수"
87,뉴트로,4.0,4.0,4.0,3.0,8.0,600ml,6000,탁주 쌀 찹쌀  저도수,디오케이브루어리,"찹쌀,멥살,누룩,레몬,라임,잉글리쉬블랙퍼스트,정제수"
88,느린마을막걸리,3.0,1.0,3.0,2.0,6.0,750ml,2300,탁주 쌀 무감미료  저도수,배상면주가,"쌀,국,효모,정제수"
89,능이주,1.0,3.0,1.0,2.0,13.0,375ml,12000,담백 약주/청주 쌀 홈술 커플 친구 명절 반주 부모님 안주 선물 추천 파티 가족 행사 저도수,내국양조,"국내산쌀,능이농충액,누룩,정제수"
90,니모메,2.0,1.0,1.0,2.0,11.0,375ml,12000,담백 약주/청주 쌀 귤 파티 커플 캠핑 명절 부모님 안주 선물 파티 추천 혼술 행사 저도수,제주샘영농조합법인,"쌀,감귤진피,정제수"
91,다래와인3004,2.0,2.0,1.0,2.0,8.0,375ml,10000,과실주 다래  저도수,영농조합법인오름주가,참다래
92,다래와인7004D,1.0,4.0,2.0,2.0,12.0,750ml,28000,과실주 다래  저도수,영농조합법인오름주가,참다래
93,다래와인7004S,2.0,2.0,1.0,4.0,8.0,750ml,18000,과실주 다래  저도수,영농조합법인오름주가,참다래
94,다랭이팜생막걸리,1.0,4.0,4.0,4.0,6.0,750ml,4000,탁주 쌀 무감미료  저도수,다랭이팜,"쌀,분도유기농현미,누룩,효모등"
95,다랭이팜생막걸리흑미,1.0,5.0,2.0,2.0,6.0,750ml,4000,탁주  저도수,다랭이팜,"남해산유기농현미,누룩,효모등"
96,다랭이팜유자막걸리,1.0,5.0,2.0,4.0,6.0,750ml,4000,탁주  저도수,다랭이팜,"남해산유기농유자원액,누룩,효모등"
97,담솔,3.0,0.0,3.0,3.0,40.0,500ml,22000,기타주류 쌀 디저트 부모님 선물 파티 추천 행사,명가원영농조합법인,"정제수,국내산쌀,국내산송순농축액,누룩,조제종국,효모"
98,담양죽력고,1.8,0.6,2.2,3.0,25.0,350ml,13000,향기 목넘김 증류주 쌀 생강 계피 고문헌 선물 명절,추성고을,"정제수,쌀,누룩,죽력,계피,석창포,생강,효모"
99,담은,3.0,1.0,1.0,4.0,6.0,750ml,15000,탁주 쌀 선물 커플 디저트 친구 명절 부모님 안주 선물 추천 파티 가족 크리스마스 혼술 저도수,(주)1932포천일동막걸리,"쌀,입국,효모,고과당,정제효소제,정제수"
100,당당하리,4.0,2.0,2.0,2.0,15.0,375ml,15333,과실주 쌀 복분자 사과 밀 감초 베리류  저도수,농업회사법인(주)세찬제조사,"쌀,홍마늘,감초,개량누룩,효모,정제효소제,정제수,복분자,설탕,올리고당,DL-사과산,구연산,무수아황산,이산화항,밀함유"
101,대관령복분자주,1.0,2.0,1.0,4.0,16.0,400ml,13000,과실주 복분자 ,농업회사법인(주)홍지원,국내산복분자
102,대대포생막걸리,2.0,1.0,3.0,2.0,6.0,750ml,3500,탁주 꿀 선물  저도수,농업회사법인(주)죽향도가,"백미,벌꿀,정제수"
103,대윤가야곡왕주,2.0,2.0,1.0,3.0,13.0,300ml,4000,약주/청주 쌀 홈술  저도수,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,물엿,정제수"
104,대잎생동동주,1.0,2.0,3.0,2.0,6.0,1700ml,2500,탁주 쌀  저도수,농업회사법인(주)죽향도가,"쌀,좁쌀,정제효소,젖산,효모,아스파탐,영지,생각,정제수"
105,대작생막걸리,4.0,3.0,3.0,3.0,6.0,750ml,2000,탁주 쌀  저도수,대작영농조합법인,"쌀,조제종국효모,정제효소,올리고당,스테비텐후레쉬,정제수"
106,대통대잎술,1.0,1.0,1.2,2.0,15.0,700ml,16000,목넘김 약주/청주 쌀 구기자 솔잎 파티  저도수,추성고을,"쌀,누룩,갈근,구기자,솔잎,진피등"
107,도구막걸리,2.0,2.0,3.0,3.0,6.0,750ml,1666,탁주 쌀 밀  저도수,동해명주,"밀,쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
108,도깨비술11,4.0,4.0,3.0,5.0,11.0,750ml,12000,탁주 쌀 파티  저도수,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
109,도깨비술7,3.0,3.0,4.0,3.0,7.0,750ml,8000,탁주 쌀 파티  저도수,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
110,도깨비술9,3.0,3.0,3.0,4.0,9.0,750ml,10000,탁주 쌀 파티  저도수,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
111,도로시머루주,4.0,4.0,3.0,3.0,12.0,500ml,25000,과실주 머루 선물  저도수,산머루농원영농조합법인,"국내산산머루원액,주정"
112,도문대작생막걸리,1.0,3.0,3.0,2.0,10.0,750ml,3000,탁주 쌀  저도수,방풍도가,"강릉쌀,누룩,갯방풍나물,정제수"
113,독산53,2.0,0.8,2.0,3.0,53.0,250ml,25000,목넘김 증류주 쌀 소용량 선물 명절 추천 안주,농업회사법인오산양조(주),"쌀,국,효모,정제수"
114,동강더덕주,3.0,2.6,2.0,2.0,20.0,360ml,3500,향기 기타주류 구기자 감초 선물 부모님,영월더덕영농조합법인,"더덕,대추구기자,감초,원지"
115,동몽,2.0,3.0,1.0,3.0,17.0,500ml,30000,담백 약주/청주 쌀 명절 추천 안주,예술,"홍천쌀,정제수,단호박,국"
116,동정춘,4.0,3.0,2.0,3.0,8.0,500ml,18000,탁주 쌀 고문헌  저도수,농업회사법인(주)산수,"쌀,누국,정제수"
117,동정춘막걸리산정호수,5.0,1.0,4.0,4.0,6.0,720ml,20000,탁주 쌀 선물  저도수,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,정제수"
118,동학1957,3.0,3.0,2.0,3.0,13.0,375ml,3500,담백 약주/청주 쌀 선물 친구 명절 반주 안주 부모님 선물 추천 파티 혼술 저도수,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수"
119,동해동동주,2.0,1.0,3.0,2.0,6.0,750ml,1666,탁주 쌀 무감미료  저도수,동해명주,"쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
120,두레앙22,2.0,1.2,1.6,4.0,22.0,375ml,5000,증류주 포도 과일류 커플 디저트 친구 명절 선물 추천,농업회사법인(주)두레양조,거봉포도원액
121,두레앙브랜디,3.0,0.4,2.0,3.0,35.0,750ml,70000,향기 증류주 포도 ,농업회사법인(주)두레양조,거봉포도원액
122,두레앙와인,2.0,2.0,1.0,4.0,12.0,750ml,15000,과실주 포도 가성비 선물 파티 추천 친구 저도수,농업회사법인(주)두레양조,거봉포도원액
123,두레앙증류주,2.0,0.4,1.4,2.0,35.0,750ml,35000,증류주 포도 과일류 안주,농업회사법인(주)두레양조,거봉포도원액
124,두리향,2.4,1.0,2.2,4.0,43.0,500ml,36000,향기 목넘김 증류주 쌀 찹쌀 고문헌 ,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
125,두유노,2.0,3.0,3.0,3.0,6.0,600ml,6000,탁주 쌀 찹쌀 밀  저도수,디오케이브루어리,"찹쌀,멥살,누룩,밀가루"
126,라이스퐁당13,3.0,2.0,1.0,3.0,13.0,500ml,15000,약주/청주 쌀 찹쌀 홈술  저도수,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
127,라이스퐁당17,3.0,3.0,1.0,4.0,17.0,500ml,18000,약주/청주 쌀 찹쌀 ,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
128,레돔내추럴스파클링로제와인,3.0,3.0,4.0,2.0,7.5,750ml,38000,과실주 포도 파티  저도수,농업회사법인작은알자스,포도
129,레돔시드르,3.0,3.0,4.0,2.0,6.0,750ml,32000,과실주 사과 파티  저도수,농업회사법인작은알자스,사과
130,려25,1.0,0.2,1.8,1.0,25.0,375ml,30000,향기 증류주 쌀 고구마 선물 디저트 친구 안주 부모님 선물,(농)국순당여주명주(주),"고구마,쌀"
131,려고구마증류소주25,1.0,0.6,1.8,3.0,25.0,500ml,35000,증류주 고구마 선물 명절 친구 추천,(농)국순당여주명주(주),고구마
132,려고구마증류소주40,2.0,0.2,2.2,3.0,40.0,500ml,35000,증류주 고구마 가족 선물 부모님,(농)국순당여주명주(주),고구마
133,로얄안동소주18년,3.0,0.8,2.2,4.0,45.0,600ml,72000,증류주 쌀 ,농업회사법인유토피아(주),"국내산쌀,입국"
134,르깔롱,2.0,2.6,1.6,4.0,16.0,500ml,35000,향기 목넘김 기타주류 과일류 ,추성고을,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라"
135,마셔블랑,3.0,3.0,3.0,2.0,12.0,750ml,20000,증류주 귤  저도수,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,무수아황산"
136,마주소곡주,4.0,3.0,2.0,4.0,16.0,500ml,17000,담백 약주/청주 쌀 찹쌀 밀 선물 커플 친구 명절 안주 선물 가족,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,효모"
137,마주소곡화주,2.4,1.0,2.2,4.0,41.0,500ml,25000,향기 목넘김 증류주 쌀 찹쌀 밀 선물 ,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,홍고추"
138,막시모40,2.2,0.2,2.2,3.0,40.0,500ml,49000,향기 목넘김 증류주 오미자 베리류 친구,농업회사법인(주)착한농부,"오미자증류원액,오미자원액,정제수"
139,만강에비친달,2.0,3.0,3.0,3.0,10.0,500ml,12000,담백 탁주 쌀 선물 안주 저도수,예술,"홍천쌀,정제수,단호박,곡자"
140,맑은내일Winery단감명작,3.0,2.0,3.0,2.0,7.0,750ml,20000,탄닌감 과실주 과일류 선물 저도수,농업회사법인우포의아침주식회사,"단감,정제수,설탕,효소제,무수구연산,효모,무수아황산,소브산"
141,맑은내일발효막걸리,3.0,3.0,3.0,4.0,7.0,750ml,"2,200",탁주 쌀 탄산  저도수,농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수"
142,맑은내일우포,3.0,2.0,2.0,2.0,12.0,325ml,"5,000",담백 약주/청주 쌀 홈술  저도수,농업회사법인우포의아침(주),"쌀,옥수수전분,효모,누룩,양파,정제수"
143,맑은문희주,3.0,1.0,1.0,4.0,13.0,750ml,36000,약주/청주 쌀 찹쌀 파티 선물 안주 저도수,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
144,맑은술해밀,3.0,2.0,2.0,2.0,15.0,500ml,25000,약주/청주 쌀  저도수,내변산양조장,"쌀,누룩,정제수"
145,매실막걸리,3.0,2.0,1.0,5.0,7.0,750ml,3500,탁주 쌀  저도수,농업회사법인(주)백운주가,"쌀,매실과즙"
146,매실원주15,3.0,2.6,1.8,3.0,15.0,300ml,6000,기타주류 꿀 캠핑 명절 부모님 선물 추천 저도수,더한주류,"매실주원액,발효주정,정제수,꿀"
147,매실향기담은술,3.0,3.0,3.0,3.0,14.0,500ml,6000,담백 약주/청주 쌀 안주 저도수,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수"
148,머루이야기,3.0,1.0,1.0,4.0,12.0,375ml,6000,과실주 머루 소용량  저도수,농업회사법인산들벗(주),국내산산머루
149,머르드서드라이,2.0,4.0,3.0,4.0,13.5,750ml,35000,과실주 머루  저도수,산머루농원영농조합법인,국내산산머루
150,머르드서스위트,4.0,3.0,3.0,4.0,12.0,750ml,30000,과실주 머루  저도수,산머루농원영농조합법인,국내산산머루
151,메로니아,4.0,1.0,5.0,4.0,4.0,750ml,2000,기타주류 쌀 과일류  저도수,배혜정도가,"쌀,국,효모,젖산,멜론향,물엿등"
152,메밀로,1.4,1.0,2.4,4.0,45.0,500ml,150000,향기 목넘김 증류주 쌀 밀 선물 ,농업회사법인두루(주),"국내산쌀,메밀,누룩,정제수"
153,면천두견주,3.0,1.0,1.0,3.0,18.0,360ml,"30,000",약주/청주 쌀 찹쌀 꽃 선물 커플 친구 반주 부모님 안주 선물 파티 추천 가족 혼술,(주)면천두견주,"국내산찹쌀,누룩,진달래꽃"
154,명가원복분자술,3.0,1.0,2.0,3.0,16.0,750ml,20000,과실주 복분자 ,명가원영농조합법인,"복분자,주정,정제수,구연산,호박산,정제식염,액상과당,효모,설탕"
