index,제품명,keywords
84,녹천한산소곡주살균,약주/청주 쌀 찹쌀 복날 커플 친구 명절 안주 선물 가족 복날 커플 친구 명절 안주 선물 가족
85,녹천한산소곡주생,약주/청주 쌀 찹쌀 친구 명절 안주 부모님 선물 가족 친구 명절 안주 부모님 선물 가족
86,녹파주,담백 약주/청주 쌀 찹쌀 선물 커플 명절 선물 추천 가족 저도수 커플 명절 선물 추천 가족
87,뉴트로,탁주 쌀 찹쌀  저도수 
88,느린마을막걸리,탁주 쌀 무감미료  저도수 
89,능이주,담백 약주/청주 쌀 홈술 커플 친구 명절 반주 부모님 안주 선물 추천 파티 가족 행사 저도수 커플 친구 명절 반주 부모님 안주 선물 추천 파티 가족 행사
90,니모메,담백 약주/청주 쌀 귤 파티 커플 캠핑 명절 부모님 안주 선물 파티 추천 혼술 행사 저도수 커플 캠핑 명절 부모님 안주 선물 파티 추천 혼술 행사
91,다래와인3004,과실주 다래  저도수 
92,다래와인7004D,과실주 다래  저도수 
93,다래와인7004S,과실주 다래  저도수 
94,다랭이팜생막걸리,탁주 쌀 무감미료  저도수 
95,다랭이팜생막걸리흑미,탁주  저도수 
96,다랭이팜유자막걸리,탁주  저도수 
97,담솔,기타주류 쌀 디저트 부모님 선물 파티 추천 행사 디저트 부모님 선물 파티 추천 행사
98,담양죽력고,향기 목넘김 증류주 쌀 생강 계피 고문헌 선물 명절 선물 명절
99,담은,탁주 쌀 선물 커플 디저트 친구 명절 부모님 안주 선물 추천 파티 가족 크리스마스 혼술 저도수 커플 디저트 친구 명절 부모님 안주 선물 추천 파티 가족 크리스마스 혼술
100,당당하리,과실주 쌀 복분자 사과 밀 감초 베리류  저도수 
101,대관령복분자주,과실주 복분자  
102,대대포생막걸리,탁주 꿀 선물  저도수 
103,대윤가야곡왕주,약주/청주 쌀 홈술  저도수 
104,대잎생동동주,탁주 쌀  저도수 
105,대작생막걸리,탁주 쌀  저도수 
106,대통대잎술,목넘김 약주/청주 쌀 구기자 솔잎 파티  저도수 
107,도구막걸리,탁주 쌀 밀  저도수 
108,도깨비술11,탁주 쌀 파티  저도수 
109,도깨비술7,탁주 쌀 파티  저도수 
110,도깨비술9,탁주 쌀 파티  저도수 
111,도로시머루주,과실주 머루 선물  저도수 
112,도문대작생막걸리,탁주 쌀  저도수 
113,독산53,목넘김 증류주 쌀 소용량 선물 명절 추천 안주 선물 명절 추천 안주
114,동강더덕주,향기 기타주류 구기자 감초 선물 부모님 선물 부모님
115,동몽,담백 약주/청주 쌀 명절 추천 안주 추천 안주
116,동정춘,탁주 쌀 고문헌  저도수 
117,동정춘막걸리산정호수,탁주 쌀 선물  저도수 
