제품명,설명
오산막걸리,인공첨가물 없이 빚은 자연주의 수제막걸리
오매백주,인공첨가물 없이 빚은 자연주의 수제막걸리
머르드 서 스위트,감악산 산머루로 빚은 프리미엄 머루와인
감악산 머루주,감악산 산머루로 빚은 프리미엄 머루주
도로시 머루주,감악산 산머루로 빚은 프리미엄 머루주
진맥소주 22%,100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
마주 소곡화주,천오백년의 맛과 향이 백일의 정성에 담기다
진맥소주 40%,100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
희양산막걸리 9%,우렁이농법으로 재배한 희양산 쌀로 빚은 수제 막걸리
진맥소주 53%,100% 유기농 통밀로 빚은 전통수제방식의 프리미엄 소주
희양산막걸리 15%,우렁이농법으로 재배한 희양산 쌀로 빚은 수제 막걸리
주산지 막걸리,경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
청송 주왕 사과막걸리,경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
청송 얼음골 동동주,경북 청송을 대표하는 80여 년 역사의 양조장에서 빚은 막걸리
도깨비술 7%,
도깨비술 9%,
도깨비술 11%,
연천 아주,"함박꽃향과 쌉싸름한 맛, 임진강이 빚은 프리미엄 생 막걸리"
편백숲 산소막걸리 순수령,청정한 숲 속 산소처럼 순수한 무첨가 막걸리
편백숲 산소막걸리 딸기스파클링,상큼한 딸기맛과 향이 가득 담긴 경쾌한 스파클링 막걸리
장수 오미자주,오미자의 5가지 맛이 어우러진 과실주
머르드 서 드라이,감악산 산머루로 빚은 프리미엄 머루와인
호땅,호두향과 땅콩맛이 어우러진 풍미 가득한 술
대대포 생막걸리,2020년 대한민국 우리술품평회 탁주부문 대상 수상
봉하쌀 생막걸리,친환경농업의 결실 봉화쌀로 빚은 막걸리
죽향 생막걸리,"댓잎을 스치는 바람, 이슬 닮은 전통의 맛"
대잎 생동동주,국내산 쌀로 빚고 몸에 좋은 영지버섯이 첨가된 술
천년담주,담양 지명 천년의 역사를 담은 약주
세종대왕어주 약주,2019년 대한민국 우리술품평회 대통령상 수상
세종대왕어주 탁주,세종대왕의 어의가 저술한 고문헌 속 술을 재현한 프리미엄 막걸리
유기농 이도14,2019년 대한민국 우리술품평회 약청주부문 최우수상 수상
우곡생주,2019 대한민국 우리술품평회 탁주 부문 대상 수상
마셔블랑,제주 한라봉으로 만든 화이트 와인
귀감,참나무통에서 숙성한 제주 감귤 소주
설하담,
풍남문,보리로 만든 프리미엄 수제 발포주
남산애 포트와인,"일체의 첨가물, 보존제도 없는 자연주의 와인"
복숭아와인,은은하고 달콤한 복숭아 풍미가 가득한 와인
오가피와인,오크통에 숙성한 듯한 향과 묵직한 바디감
사과와인,새콤달콤한 사과의 풍미가 가득한 와인
혼디주,제주 감귤로 빚은 싱그러운 맛과 향이 담긴 과실주
신례명주,제주 감귤로 빚은 맛과 향이 뛰어난 브랜디
영일만친구 막걸리,포항을 대표하는 포항쌀로 빚은 막걸리
도구 막걸리,포항에서 출시된 가장 오래된 막걸리
동해 동동주,포항 최초로 100% 쌀로 만든 막걸리
남산애 레드와인,"일체의 첨가물, 보존제도 없는 자연주의 와인"
가을빛 레드와인,"일체의 첨가물, 보존제도 없는 자연주의 와인"
백년향,삼양주기법으로 백일동안 정성껏 빚은 술
여강,경기 여주쌀로 빚은 순곡 증류주
삼선,"천(天), 지(地), 인(人)의 기운을 담아는 삼선 탁주"
애석,맛과 향이 뛰어나 감히 삼키지 아깝다는 석탄주를 재현한 술
메밀로,강원도 홍천 쌀과 메밀로 빚어 증류한 프리미엄 증류주
기다림 25,
기다림 34,
기다림 맑은술,"100일간의 기다림으로 탄생한 프리미엄 막걸리, 기다림 34"
경기전,보리로 만든 프리미엄 수제 발포주
오목대,보리로 만든 프리미엄 수제 발포주
정고집 옛날 생동동주,"쌀알이 동동, 60년 장인정신으로 빚은 동동주"
정고집 나주쌀 생막걸리,은은한 과일 향과 원재료의 깊은 맛을 품은 막걸리
정고집 나주배 약주 9%,나주의 특산품 나주배로 만든 황금빛 약주
정고집 나주배 약주 15%,나주의 특산품 나주배로 만든 황금빛 약주
기다림 16,
두리향,"맛과 향이 너무 좋아 차마 삼키기가 안타까운 술, 석탄주를 증류한 술"
막시모40,친환경 오미자를 원료로 만든 오미자 증류주
예천주 사월24,친환경 오미자를 원료로 만든 오미자 증류주
예천주 사월365,친환경 오미자를 원료로 만든 오미자 증류주
예천주복 만월40,선명하고 풍성하게 복분자향이 퍼지는 복분자 증류주
병영설성사또,"햅쌀과 오디, 복분자가 만나 탄생한 명주"
해방주 18.8%,영덕의 특산물 해방풍으로 빚은 증류주
송화백일주,대한민국 식품명인 제1호로 지정된 사찰에서 빚은 명주
황금보리소주17,국내 최초로 황금보리로 만든 깔끔한 증류주
황금보리소주25,국내 최초로 황금보리로 만든 깔끔한 증류주
황금보리소주40,국내 최초로 황금보리로 만든 깔끔한 증류주
예밀와인 레드 스위트,강원도 영월의 자연을 그대로 담은 달콤한 한국와인
예밀와인 로제,2018 광명동굴 대한민국와인품평회 은상 수상
병영설성 생막걸리,식품명인이 우리 쌀로 정직하게 빚은 막걸리
병영설성 동동주,식품명인이 우리쌀로 정직하게 빚은 동동주
시나브로 레드 드라이,나도 모르게 시나브로 반하게 만드는 매력적인 와인
시나브로 레드 스위트,나도 모르게 시나브로 반하게 만드는 매력적인 와인
시나브로 에뚜왈 스파클링와인,나도 모르게 시나브로 반하게 만드는 매력적인 와인
시나브로 드 글로리아,나도 모르게 시나브로 반하게 만드는 매력적인 와인
그랑티그르CE2002,"한국와인 기대주, 월류원이 만든 프리미엄 와인"
그랑티그르M1988,포도와 오미자를 브랜딩한 프리미엄 와인
예밀와인 레드 드라이,2019 대한민국주류대상 한국와인부문 대상 수상
샤토미소 랑,청포도의 싱그러움이 가득 담긴 화이트화인
샤토미소 레드 프리미엄 드라이,한국와인대상 3개년 수상에 빛나는 프리미엄 와인
샤토미소 영동,품질 좋은 도란원의 와인을 증류하여 만든 브랜디
가덕 순쌀 막걸리,충북 청원쌀과 백족산 맑은 물로 정성껏 빚은 막걸리
청남대 블루베리 막걸리,충북 청원쌀과 백족산 맑은 물로 정성껏 빚은 막걸리
매실향기 담은 술,새콤달콤한 맛으로 건강하게 마시는 술
한시울,새콤달콤한 맛으로 건강하게 마시는 술
이상헌 탁주,세상 어디에도 없는 알코올 19% 탁주
이상헌 약주,"어떠한 첨가물 없이 쌀, 누룩, 물로만 빚은 순수한 약주"
예천주복 만월24,선명하고 풍성하게 복분자향이 퍼지는 복분자 증류주
순향주,오양주기법으로 정성껏 빚은 프리미엄 약주
술헤는밤,부담없이 마시기 좋은 수제 막걸리
감 보드카,
감이슬,감의 고장 논산 양촌의 감으로 빚은 감 증류주
하향주,대구시 무형문화재 11호 기능보유자가 빚은 프리미엄 약주
하향주 증류주,대구시 무형문화재 11호 하향주를 증류한 프리미엄 증류주
어우야,"기다림의 미학, 45일의 자연 발효로 빚은 술"
흑돈주,"기다림의 미학, 45일의 자연 발효로 빚은 술"
황칠주,"기다림의 미학, 45일의 자연발효로 빚은 술"
