,제품명,주종,도수,용량,가격,원재료,제조사
465,톡쏘는알밤동동,기타주류,6%,350ml,1300,"쌀,정제수,입국,밤농축액,밤추출물등",가평우리술
466,톡한잔골드_500ml,리큐르,43%,500ml,49000,"찰보리90%,쌀10%,민들레분말,볶음보리",농업회사법인(유)대마주조
467,톡한잔소주_500ml,증류식소주,30%,500ml,10000,"찰보리90%,쌀10%",농업회사법인(유)대마주조
468,티나,리큐르,16%,750ml,54000,"딸기추출물,죽력,정제수,주정,액상과당(포도당),구연산,딸기향,망고향",추성고을
469,펀치쌀바나나_750ml,기타주류,4%,750ml,2000,"쌀(국내산),바나나농축액,효모,종곡,정제수,합성착향료,합성감미료",내변산(동진주조)
470,편백숲산소막걸리,탁주,5.2%,750ml,1900,"멥쌀,올리고당,사과농축액,누룩,아스파탐",농업회사법인(주)청산녹수
471,편백숲산소막걸리딸기스파클링,탁주,6.8%,940ml,41000,"멥쌀,찹쌀,누룩,딸기,올리고당",농업회사법인(주)청산녹수
472,편백숲산소막걸리순수령,탁주,5.8%,750ml,4000,"멥쌀,찹쌀,누룩",농업회사법인(주)청산녹수
473,평창머루주_360ml,과실주,16%,360ml,19500360ml*3병,국내산산머루,농업회사법인(주)홍지원
474,평창오디주_360ml,과실주,16%,360ml,19500360ml*3병,국내산오디,농업회사법인(주)홍지원
475,포엠레드드라이와인,과실주,12%,750ml,25000,"포도(국내산_MBA),머루(국내산)",갈기산포도농원(주)농업회사법인
476,포엠레드스위트와인,과실주,12%,750ml,25000,"포도(국내산_캠벨얼리,MBA)",갈기산포도농원(주)농업회사법인
477,포엠로제와인,과실주,12%,750ml,35000,포도(킹데라웨어),갈기산포도농원(주)농업회사법인
478,포엠화이트와인,과실주,12%,750ml,35000,청포도(청수),갈기산포도농원(주)농업회사법인
479,풍남문,기타주류,5%,1000ml,270001000ml*3병,"보리(국내산),맥아(국내산),호프펠렛,효모,정제효소제,정제수",농업회사법인동문거리양조장(주)(전주술로시티)
480,풍정사계동_375ml,증류식소주,"42%,25%",375ml,2500025%3500042%,"국내산찹살,향온곡",농업회사법인(유)화양
481,풍정사계추_500ml,탁주,12%,500ml,15000,"국내산찹살,향온곡",농업회사법인(유)화양
482,풍정사계춘_500ml,약주,15%,500ml,30000,"국내산찹살,향온곡",농업회사법인(유)화양
483,풍정사계하_500ml,약주,18%,500ml,35000,"국내산찹살,향온곡",농업회사법인(유)화양
484,필FEEL,증류식소주,40%,500ml,25000,"백미(국내산),누룩,효모,정제수",농업회사법인명품안동소주(주)
485,하향주,약주,17%,750ml,45000,"국내산찹쌀,누룩,정제수",하향주가영농조합법인
486,하향주증류주,일반증류주,45%,700ml,70000,"국내산찹쌀,누룩,정제수",하향주가영농조합법인
487,한비동충하초술,리큐르,35%,375ml/750ml,30000375ml50000750ml,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",제천한약영농조합법인
488,한비무병장수술,리큐르,35%,375ml/750ml,30000375ml50000750ml,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",제천한약영농조합법인
489,한비쌀소주,증류식소주,40%,375ml/750ml,30000375ml40000750ml,"국내산쌀,누룩,정제수",제천한약영농조합법인
490,한비오가피술,리큐르,35%,375ml/750ml,30000375ml50000750ml,"국내산쌀,누룩,가시오가피뿌리,정제수",제천한약영농조합법인
491,한산소곡주,살균약주,18%,360ml,6500,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",한산소곡주
492,한산소곡주,살균약주,18%,700ml,15000,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",한산소곡주
493,한산소곡주(살균주),살균약주,16%,750ml,12000,"찹쌀,누룩,백미,정제수",녹천주조장
494,한산소곡주_생주,약주,16%,750ml,12000,"찹쌀,누룩,백미,정제수",녹천주조장
495,한스오차드사과와인,과실주,11%,750ml,20000,국산사과원액100%,(주)한국애플리즈
496,한시울,증류식소주,40%,500ml,18000,"국내산쌀,누룩,효모,구연산,정제수",농업회사법인명세주가(주)
497,한주,증류식소주,35%,360ml,12000,"국내산쌀,밀누룩,정제수",한주양조
498,해미읍성딸기와인,과실주,12%,500ml,20000,"해미딸기(99.99%),아황산염,소르빈산염",농업회사법인해미읍성딸기와인(주)
499,해미읍성매실와인,과실주,12%,500ml,20000,"매실(80%),아황산염,소르빈산염",농업회사법인해미읍성딸기와인(주)
500,해미읍성모과와인,과실주,12%,500ml,20000,"모과(80%),아황산염,소르빈산염",농업회사법인해미읍성딸기와인(주)
501,해미읍성살구와인,과실주,12%,500ml,20000,"살구(80%),아황산염,소르빈산염",농업회사법인해미읍성딸기와인(주)
502,해방주18.8%,일반증류주,18.8%,375ml,12000375ml_188%,"쌀(국내산),해방풍(국내산),조효소제,효모,젖산,정세효소제,구연산",농업회사법인(주)영덕주조
503,해방주38%,일반증류주,38%,800ml,45000800ml38%,"쌀(국내산),해방풍(국내산),조효소제,효모,젖산,정제효소제,구연산",농업회사법인(주)영덕주조
504,해창생막걸리12도,탁주,12%,900ml,10000,"햅쌀,찹쌀,물,누룩",해창주조장
505,해창생막걸리6도,탁주,6%,900ml,3000,"햅쌀,찹쌀,물,누룩",해창주조장
506,해창생막걸리9도,탁주,9%,900ml,6000,"햅쌀,찹쌀,물,누룩",해창주조장
507,해파랑,약주,13%,375ml,10000,"쌀(국내산),해방풍(국내산),계량누룩,젖산,이소말토올리고당,정제수",농업회사법인(주)영덕주조
508,햇찹쌀이하늘수,탁주,6%,500ml,1100,"쌀(국내산),찹쌀(국내산),전통누룩,정제수",안양주조장
509,행운막걸리,탁주,6%,750ml,1100,"쌀(국내산),소맥분(미국산),전분당,정제수,정제효소,종국,효모,젖산,아스파탐",성포양조장
510,행운주,청주,12%,750ml,300ml3500500ml5000750ml9000,"백미(국내산),밀누룩(국내산),정제수,종국,효모,아스파탐",성포양조장
511,향수우리밀막걸리,탁주,9%,700ml,7900,"우리밀,누룩,정제수,무감미료",이원양조장
512,허니문와인,기타주류,10%,375ml,35000,국내산벌꿀,아이비영농조합법인
513,허니비와인_500ml,기타주류,8%,500ml,35000,국내산벌꿀,아이비영농조합법인
514,호담_300ml,리큐르,20%,300ml,18000,"산양산삼,정제수,주정",대농바이오우리산삼
515,호담산양산삼막걸리,탁주,6%,750ml,16000750ml*9병,"쌀(경기미),입국,산양산삼,정제수,아스파탐",대농바이오우리산삼
516,호담산양산삼주_375ml,약주,13%,375ml,4000,"산양산삼,정제주,주정",대농바이오우리산삼
517,호땅,기타주류,6%,750ml,2700,"쌀(국내산),국,효모,정제수,땅콩(국내산)",배혜정도가
518,호랑이생막걸리,탁주,6%,750ml,2200,"쌀,정제수,국,효모,젖산등",배혜정도가
519,호모루덴스,탁주,12%,500ml,12000,"쌀,누룩,정제수",농업회사법인(주)산수
520,혼디주,과실주,12%,330ml,8000,"감귤(제주산)100%,정제수,백설탕,구연산,무수아황산",농업회사법인(주)시트러스
521,홍로,증류주,45%,500ml,50000,"백련,찹쌀,멥쌀,누룩,자초",영농조합법인석전상온전통주가
522,홍삼인삼주,일반증류주,38%,750ml,70000,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",태평주가
523,홍삼진심인삼주(1set),일반증류주,19%,375ml,7000,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",태평주가
524,홍삼진심인삼주(2set),일반증류주,19%,375ml,14000,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",태평주가
525,홍삼명주375ml,기타주류,14%,375ml,12000,"홍삼추출액,효모,정백당,정제수",자연과인삼
526,홍삼명주500ml,기타주류,14%,500ml,16000,"홍삼추출액,효모,정백당,정제수",자연과인삼
527,홍천강탁주,탁주,11%,500ml,10000,"홍천쌀,정제수,국(밀누룩)",예술
528,화주,일반증류주,25%,375ml,13000,"국내산쌀,홍삼농축액,정제수",내국양조
529,황금보리소주17,증류식소주,17%,375ml,25000375ml*5병,"보리,누룩,정제수",황금보리(유)농업회사법인
530,황금보리소주25,증류식소주,25%,375ml,42500375ml*5병,"보리,누룩,정제수",황금보리(유)농업회사법인
531,황금보리소주40,증류식소주,40%,375ml,78500375ml*5병,"보리,누룩,정제수",황금보리(유)농업회사법인
532,황진이_375ml,살균약주,12%,375ml,3500,"쌀,오미자,산수유",농업회사법인(유)술소리
533,황칠주,기타주류,16%,365ml,9900,"황칠나무잎(제주산),정제수,포도당,효모",왕지케양조장(제주본초협동조합)
534,회곡생동동주,탁주,7%,"1,200ml",1300,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",회곡양조장
535,회곡생막걸리,탁주,6%,750ml,1300,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",회곡양조장
536,흑돈주,기타주류,16%,365ml,12000원,"황칠나무(제주산),정제수,포도당,효모",왕지케양조장(제주본초협동조합)
537,희양산막걸리15%,탁주,15%,500ml,9500,"쌀(국내산),누룩,정제수",두술도가
538,희양산막걸리9%,탁주,9%,750ml,8000,"쌀(국내산),누룩,정제수",두술도가
539,1000억막걸리프리바이오,탁주,5%,750ml,3500,"쌀(국내산),밀(국내산),누룩,정제수",(주)국순당
540,1000억유산균막걸리,탁주,5%,750ml,3200,"쌀(국내산),밀(국내산),누룩,정제수",(주)국순당
541,1932새싹땅콩햅쌀막걸리,생막걸리,6%,900ml,500ml-15000병제품900ml-20000PET제품,"쌀(국내산),땅콩농축액,입국,효모,고과당,정제효소제,정제수",(주)1932포천일동막걸리
542,1932새싹땅콩흑미막걸리,생막걸리,6%,900ml,500ml-15000병제품900ml-20000PET제품,"쌀(국내산),흑미(15%),땅콩농축액,입국,효모,고과당,정제효소제,정제수",(주)1932포천일동막걸리
543,33JU,일반증류주,18%,500ml/200ml,49000/23000,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",농업회사법인33가주식회사
544,52C,일반증류주,17.50%,500ml,10000,"정제수,주정,쌀증류식소주원액,오이",농업회사법인(주)청산녹수
545,DMZ240km_450ml,기타주류,25%,450ml,,"자연송이버섯,브랜디원액,블랙커런트,벌꿀",솔래원
546,G12골디락스,탁주,12%,500ml,12000,"정제수,멥쌀(국내산),찹쌀(국내산),누룩,종국,효모,밀함유",농업회사법인(주)청산녹수
547,The찾을수록시리즈,과실주,"피치14%,모스카토14%,애플16%,감귤16%,생강16%,아메리카노14%",360ml,9000360ml*6병,"사과와인,정제수,정제주정외제품별농축액(복숭아,포도,사과,감귤,생강,커피향등)",(주)한국애플리즈
