,제품명,주종,도수,용량,가격,원재료,제조사
296,신선주증류주,증류주,52%/42%/35%,375ml,60000,"찹쌀(국내산),전통누룩(국내산)(밀함유),약재(국화,쇠무릅,당귀,하수오,구기자,맥문동,인삼,육계(계피),숙지황,생지황)",농업회사법인(주)신선
297,심플리애플,기타주류,12%,350ml,9000,"쌀(국산),사과즙(국산),벌꿀(국산)",주식회사배혜정농업회사법인
298,아이싱자몽(iCingGrapefruit),탁주,4%,"350ml,300ml",CAN1300BOTTLE5000,"쌀,자몽엑기스",국순당
299,아이원막걸리,탁주,6%,750ml,1000,"쌀,밀,입국,누룩,정제수",이원양조장
300,아황주,약주,17%,500ml,23000,"찹쌀,멥쌀,누룩,정제수",최행숙전통주가
301,안동소주일품17도_350ml,증류식소주,17%,350ml,12000350ml*3병,"국내산쌀,입국",안동소주일품
302,안동소주일품21도_350ml,증류식소주,21%,350ml,13500350ml*3병,"국내산쌀,입국",안동소주일품
303,안동소주일품40도골드_500ml,증류식소주,40%,500ml,18000,"국내산쌀,입국",안동소주일품
304,안성마춤생막걸리,탁주,6%,"1,000ml",2000,"국내산쌀,누룩,효모,젖산,정제효소,정제수",한주양조
305,안양동동주,탁주,6%,800ml,1100,"쌀(국내산),찹쌀(국내산),전통누룩,정제수",안양주조장
306,애석,약주,15%,500ml,30000,"국내산쌀,누룩,정제수",농업회사법인두루(주)
307,애피소드상그리아,과실주,3.5%,500ml,21000500ml*6병,"포도와인,정제주정,정제수,포도농축액,고과당",(주)한국애플리즈
308,애피소드애플,과실주,3.5%,500ml,21000500ml*6병,"사과와인,정제주정,정제수,사과농축액,고과당",(주)한국애플리즈
309,애피소드호프,기타주류,3.5%,500ml,21000500ml*6병,"사과과즙,보리,쌀,홉",(주)한국애플리즈
310,야관문쌀막걸리_750ml,탁주,6%,750ml,1500,"쌀(국내산),종국,정제수,누룩,효모,야관문",지리산그린영농조합운봉주조
311,양촌생동동주,탁주,10%,750ml,36000원1박스15개입,"정제수,백미,효소제,효모등",양촌양조
312,양촌생막걸리,탁주,6%,750ml,30000원1박스20개입,"팽화미,소맥분,정제수,물엿,효소,국등",양촌양조
313,어우야,기타주류,16%,365ml,9900,"야관문(제주산),정제수,포도당,효모",왕지케양조장(제주본초협동조합)
314,여강,증류식소주,25%,375ml,20000,"국내산쌀,누룩,정제수",(주)농업회사법인추연당
315,여포의꿈(화이트),과실주(포도),12%,375ml,20000,국내산포도100%,여포와인농장
316,여포의꿈(레드드라이),과실주(포도),12%,750ml,20000,국내산포도100%,여포와인농장
317,여포의꿈(레드스위트),과실주(포도),12%,750ml,-,국내산포도100%,여포와인농장
318,연천아주,탁주,8%,750ml,6000,"쌀(국내산),누룩,정제수",농업회사법인연천양조(주)
319,연천연주,약주,12%,500ml,15000,"쌀(국내산),누룩,정제수",농업회사법인연천양조(주)
