,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
393,향기,향기,맛,바디감,천매,맛,그래프,약함,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
394,단맛,단맛,신맛,청량감,포엠,로제,와인,맛,그래프,약함,약함,약함,강함,강함,강함,바디감,가벼움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,무거움,,,
395,향,향,바디감,황금,보리,소주,17,맛,그래프,약함,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,
396,청산녹수 사미인주 맛 그래프,청산,녹수,사,미인주,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
397,두레앙 증류주 맛 그래프,두레,앙,증류주,맛,그래프,향기,약함,맛,바디감,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
398,면천두견주 맛 그래프,면천,두견주,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
399,왕피천을 품은 미소생막걸리 맛 그래프,왕피천,을,품은,미소,생,막걸리,맛,그래프,단맛,신맛,약함,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,
400,선호 생막걸리 맛 그래프,선호,생,막걸리,맛,그래프,단맛,약함,신맛,약함,청량감,바디감,가벼움,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
401,미소 생막걸리 맛 그래프,미소,생,막걸리,맛,그래프,단맛,약함,신맛,약함,청량감,바디감,가벼움,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
402,단맛,단맛,신맛,청량감,바디감,해미읍,성,살구,와인,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,",",NAVER,,,,,
403,단맛,단맛,신맛,청남대,블루,베리,생,막걸리,맛,그래프,청량감,바디감,약함,약함,약함,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,VER,,
404,한스오차드 사과와인 맛 그래프,한스,오차드,사과,와인,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,
405,복순도가 손막걸리 맛 그래프,복순,도,가,손,막걸리,맛,그래프,단맛,낮음,신맛,청량감,바디감,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,
406,코이버펑크 샤르도네 세미용 블랜드 맛 그래프,코이,버,펑크,샤르도네,세,미용,블랜드,맛,그래프,단맛,신맛,청량감,약함,약함,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,코이,버,펑크,NAVER,,,,,
407,진심 홍삼인삼주 19% 맛 그래프,진심,홍삼,인삼주,19,%,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,
408,향,향,바디감,약함,가벼움,목넘김,부드러움,메밀,로,맛,그래프,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,",",,,,,,,,,,,
409,자두와인 화이트 맛 그래프,자두,와인,화이트,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,
410,단맛,단맛,신맛,청량감,남산,애,포트,와인,맛,그래프,약함,약함,약함,강함,가벼움,강함,강함,바디감,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,VER,무거움,,,
411,청산녹수 생탁주 맛 그래프,청산,녹수,생,탁주,맛,그래프,단맛,약함,신맛,약함,청량감,바디감,가벼움,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
412,자연담은 복분자막걸리 맛 그래프,자연,담은,복분자,막걸리,맛,그래프,단맛,낮음,신맛,청량감,바디감,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,
413,단맛,단맛,신맛,청량감,바디감,담솔,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,
414,술아 매화주 맛 그래프,술아,매화주,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,
415,뱅꼬레 로제와인 맛 그래프,뱅,꼬레,로제,와인,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,
416,단맛,단맛,신맛,청량감,약함,약함,약함,뉴트로,맛,그래프,강함,강함,강함,바디감,가벼움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,무거움,,,,,
417,스타베리 오디와인 맛 그래프,스타,베리,오디,와인,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,
418,백운 복분자와인 맛 그래프,백운,복분자,와인,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,
419,문희 '문경오미자수제 전통주' 맛 그래프,문희,',문경,오미자,수제,전통주,',맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,
420,단맛,단맛,신맛,청량감,바디감,볼빨간,막걸리,7,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,
