,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
469,코이버펑크샤르도네세미용블랜드,,2.0,4.0,4.0,3.0,,
470,코이버펑크카베르네소비뇽,,1.0,2.0,2.0,3.0,,
471,쿨샷7.5,,3.0,1.0,2.0,2.0,,
472,크라테레드와인드라이밤,,2.0,2.0,3.0,3.0,,
473,크라테레드와인스위트,,4.0,2.0,3.0,1.0,,
474,크라테로제와인,,4.0,1.0,3.0,3.0,,
475,타미앙스,,1.0,1.0,2.0,4.0,,
476,톡쏘는알밤동동,,4.0,1.0,3.0,3.0,,
477,톡한잔골드,3.0,3.0,,,4.0,,
478,톡한잔소주,2.0,2.0,,,3.0,,
479,티나(Tina),4.0,,,,5.0,4.0,
480,펀치바나나,,3.0,1.0,2.0,4.0,,
481,편백숲산소막걸리,,3.0,3.0,3.0,3.0,,
482,편백숲산소막걸리딸기스파클링,,3.0,2.0,5.0,3.0,,
483,편백숲산소막걸리순수령,,3.0,1.0,1.0,4.0,,
484,평창머루주,,1.0,3.0,1.0,4.0,,
485,평창오디주,,1.0,3.0,1.0,3.0,,
486,포엠레드드라이와인,,2.0,3.0,2.0,4.0,,
487,포엠레드스위트와인,,4.0,3.0,3.0,3.0,,
488,포엠로제와인,,4.0,3.0,3.0,3.0,,
489,포엠화이트와인,,4.0,4.0,4.0,3.0,,
490,풍정사계동,3.0,2.0,,,3.0,,
491,풍정사계추,,1.0,2.0,1.0,4.0,,
492,풍정사계춘,,2.0,1.0,1.0,3.0,,
493,풍정사계하,,4.0,1.0,1.0,3.0,,
494,하향주,,3.0,3.0,1.0,4.0,,
495,하향주증류주,3.0,,,,4.0,3.0,
496,한비동충하초술,4.0,,,,4.0,1.0,
497,한비무병장수술,5.0,,,,4.0,2.0,
498,한비오가피술,2.0,,,,3.0,2.0,
499,한산소곡주 365ml 중복,,3.0,1.0,,4.0,4.0,
500,한산소곡주 (700ml) 중복,,3.0,1.0,,4.0,4.0,
501,한스오차드사과와인,,4.0,3.0,2.0,2.0,,
502,한시울,4.0,,,,4.0,3.0,
503,한주,3.0,,,,3.0,3.0,
504,해미읍성딸기와인,,3.0,2.0,1.0,3.0,,
505,해미읍성매실와인,,5.0,1.0,2.0,4.0,,
506,해미읍성모과와인밤,,3.0,2.0,2.0,3.0,,
507,해미읍성살구와인,,3.0,2.0,2.0,3.0,,
508,해방주18.8%,2.0,,,,2.0,2.0,
509,해방주38%,3.0,,,,3.0,3.0,
510,해창12도생막걸리,,1.0,1.0,2.0,2.0,,
511,해창9도생막걸리,,1.0,1.0,2.0,2.0,,
512,해창찹쌀생막걸리,,1.0,1.0,3.0,2.0,,
513,해파랑,,3.0,1.0,1.0,3.0,,
514,햇찹쌀이하늘수,,3.0,3.0,3.0,3.0,,
515,행운막걸리,,3.0,1.0,1.0,4.0,,
516,행운주,,2.0,2.0,2.0,2.0,,
517,향수우리밀막걸리,,2.0,3.0,3.0,5.0,,
518,허니문와인,,4.0,2.0,2.0,2.0,,
519,허니비와인,,3.0,1.0,1.0,4.0,,
520,호담300,2.0,2.0,,,2.0,,
521,호담산양산삼막걸리,,1.0,3.0,3.0,1.0,,
522,호담산양산삼주,,1.0,1.0,1.0,3.0,,
523,호땅,,3.0,1.0,2.0,4.0,,
524,호랑이생막걸리,,4.0,1.0,2.0,2.0,,
525,호모루덴스,,1.0,2.0,2.0,4.0,,
526,혼디주,,4.0,3.0,3.0,2.0,,
527,홍로,4.0,,,,2.0,2.0,
528,홍삼명주 375ml,,1.0,3.0,,1.0,5.0,
529,홍삼명주500ml 중복,,1.0,3.0,,1.0,5.0,
530,홍천강탁주,,2.0,3.0,2.0,4.0,,
531,화주,2.0,,,,1.0,3.0,
532,황금보리소주40,3.0,,,,3.0,3.0,
533,황금보리소주17,2.0,,,,2.0,2.0,
534,황금보리소주25,3.0,,,,2.0,2.0,
535,황진이,,3.0,2.0,1.0,3.0,,
536,황칠주,2.0,,,,2.0,3.0,
537,회곡생동동주,,3.0,2.0,3.0,3.0,,
538,회곡생막걸리,,2.0,2.0,2.0,4.0,,
539,흑돈주,2.0,,,,2.0,3.0,
540,희양산막걸리15%,,3.0,4.0,1.0,5.0,,
541,희양산막걸리9%,,2.0,3.0,2.0,3.0,,
542,DMZ240km,1.0,2.0,,,3.0,,
543,g12골디락스,,2.0,2.0,2.0,3.0,,3.0
544,우도땅콩전통주,,4.0,1.0,3.0,3.0,,
545,The찾을수록시리즈,,4.0,2.0,3.0,2.0,,
