,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
109,도깨비술9%,,3.0,3.0,3.0,4.0,,
110,도로시머루주,,4.0,4.0,3.0,3.0,,
111,도문대작생막걸리,,1.0,3.0,3.0,2.0,,
112,녹고의눈물,2.0,2.0,,,3.0,,
113,독산53,2.0,,,,3.0,5.0,
114,동강더덕주,3.0,3.0,,,2.0,,
115,동몽,,2.0,3.0,1.0,3.0,,
116,동정춘,,4.0,3.0,2.0,3.0,,
117,동정춘막걸리,,4.0,3.0,2.0,3.0,,
118,동학1957,,3.0,3.0,2.0,3.0,,
119,동해동동주,,2.0,1.0,3.0,2.0,,
120,두레앙22,1.0,,,,4.0,2.0,
121,두레앙브랜디,4.0,3.0,,,3.0,,
122,두레앙와인,,2.0,2.0,1.0,4.0,,
123,두레앙증류주,2.0,2.0,,,2.0,,
124,두리향,3.0,,,,4.0,3.0,
125,두유노,,2.0,3.0,3.0,3.0,,
126,라이스퐁당13,,3.0,2.0,1.0,3.0,,
127,라이스퐁당17,,3.0,3.0,1.0,4.0,,
128,레돔내추럴스파클링로제와인,,3.0,3.0,4.0,2.0,,
129,레돔시드르,,3.0,3.0,4.0,2.0,,
130,려(25%),3.0,1.0,,,1.0,,
131,려고구마증류소주25%,2.0,1.0,,,3.0,,
132,려고구마증류소주40%,2.0,2.0,,,3.0,,
133,로얄안동소주18년,1.0,3.0,,,4.0,,
134,르깔롱,4.0,,,,4.0,4.0,
135,마셔블랑,,3.0,3.0,3.0,2.0,,
136,마주소곡주,,4.0,3.0,2.0,4.0,,
137,마주소곡화주,3.0,,,,4.0,3.0,
138,막시모40,4.0,,,,3.0,3.0,
139,만강에비친달맛,,2.0,3.0,3.0,3.0,,
140,맑은내일발효막걸리,,3.0,3.0,3.0,4.0,,
141,맑은내일우포,,3.0,2.0,2.0,2.0,,
142,맑은내일Winery단감명작,,3.0,2.0,3.0,2.0,,
143,맑은문희주,,3.0,1.0,1.0,4.0,,
144,맑은술해밀,,3.0,2.0,2.0,2.0,,
145,매실막걸리,,3.0,2.0,1.0,5.0,,
146,매실원주15%,2.0,3.0,,,3.0,,
147,매실향기담은술,,3.0,3.0,3.0,3.0,,
148,머루이야기,,3.0,1.0,1.0,4.0,,
149,머르드서드라이,,2.0,4.0,3.0,4.0,,
150,머르드서스위트,,4.0,3.0,3.0,4.0,,
151,메로니아,,4.0,1.0,5.0,4.0,,
152,메밀로,3.0,,,,4.0,3.0,
153,면천두견주,,3.0,1.0,1.0,3.0,,
154,면천두견주,,3.0,1.0,1.0,3.0,,
155,면천두견주,,3.0,1.0,1.0,3.0,,
156,명가원복분자술,,3.0,1.0,,3.0,,
157,명술375,2.0,2.0,,,3.0,,
158,명인안동소주22,1.0,1.0,,,2.0,,
159,명인안동소주양반탈,1.0,1.0,,,3.0,,
160,명인안동소주호리병,1.0,1.0,,,3.0,,
161,명인홍삼주,,1.0,3.0,2.0,4.0,,
162,명작복분자,,3.0,1.0,1.0,5.0,,
163,명품진도홍주,3.0,3.0,,,3.0,,
164,모월로,3.0,,,,2.0,2.0,
165,모월연,,1.0,3.0,1.0,2.0,,
166,모월인,4.0,,,,3.0,3.0,
167,모월청,,1.0,3.0,2.0,3.0,,
168,모을동주소주,3.0,,,,4.0,4.0,
169,모을동주약주,,4.0,3.0,3.0,4.0,,
170,한비쌀소주,2.0,,,,2.0,3.0,
171,무주구천동머루와인,,2.0,2.0,1.0,3.0,,
172,무주구천동산머루주,,2.0,2.0,1.0,3.0,,
173,문경바람백자25%,3.0,,,,3.0,4.0,
174,문경바람백자40%,3.0,,,,4.0,4.0,
175,문경바람오크,4.0,,,,4.0,4.0,
176,문경주조오미자생막걸리,,2.0,3.0,2.0,4.0,,
177,문배술헤리티지23,2.0,1.0,,,1.0,,
178,문배술헤리티지25,2.0,1.0,,,1.0,,
179,문배술헤리티지40,2.0,2.0,,,3.0,,
180,문희'문경오미자수제전통주',,3.0,1.0,3.0,3.0,,
181,문희'햇찹쌀수제전통주',,3.0,1.0,2.0,3.0,,
182,문희'햇찹쌀수제전통주',,3.0,1.0,2.0,3.0,,
183,미르25s,,2.0,0.0,1.0,3.0,,
184,미르40s,,1.0,0.0,0.0,2.0,,
185,미생막걸리,,2.0,3.0,3.0,3.0,,
186,미소생막걸리,,3.0,3.0,3.0,2.0,,
187,미소아이스,,4.0,1.0,,3.0,2.0,
188,미인약주,,4.0,1.0,1.0,2.0,,
189,미인탁주,,3.0,1.0,1.0,3.0,,
190,민속주안동소주400,1.0,1.0,,,4.0,,
191,민속주안동소주600,1.0,1.0,,,4.0,,
192,민속주안동소주800,1.0,1.0,,,4.0,,
193,바랑탁,,4.0,2.0,1.0,4.0,,
194,밤꽃향기,,5.0,2.0,2.0,2.0,,
195,방문주약주,,2.0,3.0,3.0,3.0,,
196,방문주탁주,,2.0,3.0,3.0,4.0,,
197,배꽃담은연생막걸리,,3.0,3.0,4.0,2.0,,
198,배도가로아19레드,4.0,2.0,,,2.0,2.0,
199,배도가로아40옐로우,2.0,2.0,,,3.0,,
200,백년향,,3.0,3.0,2.0,3.0,,
201,백련맑은술,,2.0,2.0,1.0,4.0,,
202,백련생막걸리Misty,,2.0,3.0,4.0,4.0,,
203,백련생막걸리Snow,,2.0,2.0,2.0,4.0,,
204,백운복분자와인,,2.0,2.0,1.0,5.0,,
205,백운복분자주,,3.0,2.0,2.0,4.0,,
206,백이주,,2.0,2.0,1.0,3.0,,
207,백자주,,3.0,3.0,2.0,3.0,,
208,뱅꼬레레드와인,,3.0,4.0,2.0,2.0,,
209,뱅꼬레로제와인,,4.0,3.0,3.0,2.0,,
210,뱅꼬레아이스와인,,5.0,2.0,2.0,4.0,,
211,뱅꼬레화이트와인,,4.0,3.0,3.0,2.0,,
212,베베마루캠벨로제,,3.0,1.0,1.0,3.0,,
213,베베마루캠벨로제스위트,,2.0,2.0,1.0,3.0,,
214,별바랑,,4.0,2.0,2.0,4.0,,
215,병영설성동동주,,2.0,2.0,3.0,2.0,,
216,병영성사또,4.0,,,,3.0,3.0,
217,병영설성생막걸리,,3.0,2.0,2.0,2.0,,
218,병영소주,,3.0,0.0,3.0,4.0,,
219,복분자아락,3.0,2.0,,,3.0,,
220,복분자음,,2.0,2.0,1.0,3.0,,
221,복순도가손막걸리,,2.0,3.0,5.0,4.0,,
222,볼빨간막걸리10,,1.0,5.0,4.0,4.0,,
223,볼빨간막걸리7,,1.0,4.0,3.0,2.0,,
224,봉하쌀생막걸리,,1.0,2.0,3.0,2.0,,
225,부안참뽕막걸리,,2.0,1.0,3.0,3.0,,
226,부안참뽕와인,,3.0,2.0,1.0,4.0,,
227,부자막걸리,,4.0,1.0,1.0,2.0,,
228,불소곡주,3.0,2.0,,,4.0,,
229,붉은원숭이,,4.0,2.0,2.0,4.0,,
230,블루베리이야기,,3.0,1.0,1.0,3.0,,
231,산내울복분자주,,4.0,4.0,3.0,3.0,,
232,산내울사과애주,,4.0,4.0,3.0,2.0,,
233,산내울오미자주,,2.0,3.0,3.0,2.0,,
234,산막대덕주,,3.0,1.0,1.0,2.0,,
235,산막생유막걸리,,1.0,3.0,3.0,4.0,,
236,삼선,,1.0,4.0,2.0,2.0,,
237,삼양춘생약주,,2.0,1.0,1.0,2.0,,
238,삼양춘생탁주,,2.0,1.0,1.0,4.0,,
239,삼양춘청주,,3.0,4.0,2.0,3.0,,
240,샤토미소(스위트),,3.0,1.0,,3.0,4.0,
241,샤토미소(스위트로제),,3.0,1.0,,2.0,4.0,
242,샤토미소랑,,4.0,3.0,2.0,2.0,,
243,샤토미소레드프리미엄드라이,,2.0,3.0,2.0,3.0,,
244,샤토미소영동,3.0,,,,4.0,2.0,
245,샹스프랑보아즈,,4.0,3.0,3.0,2.0,,
246,서울의밤,4.0,,,,2.0,1.0,
247,서주16%,,3.0,2.0,3.0,3.0,,
248,석로주,,1.0,1.0,1.0,4.0,,
249,석탄주약주,,1.0,3.0,2.0,3.0,,
250,석탄주탁주,,2.0,3.0,3.0,4.0,,
