page,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
309,시나브로 에뚜왈 화이트 스파클링 와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,약함,강함
310,담화탁주 X 2병,단맛,산미,담백,바디감,탄산,강함,약함,중간,강함,없음
312,토박이 소곡화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,중간,강함
313,녹파주,단맛,산미,씁쓸,바디감,담백,약함,약함,중간,약함,강함
314,화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,약함
315,가덕 순쌀 생 막걸리 X 6병,단맛,산미,담백,바디감,탄산,약함,약함,강함,중간,중간
318,배꽃 필 무렵 잣잎 X 3병,단맛,산미,담백,바디감,탄산,중간,강함,중간,매우강함,없음
320,나루 생 막걸리 11.5% [3병/8병],단맛,산미,담백,바디감,탄산,매우강함,약함,약함,강함,없음
324,려 증류소주 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,매우강함
325,밀담 24%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,강함,약함
326,밀담 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,강함
327,미상 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,중간,약함,약함
330,264 청포도 와인 꽃 (Medium Sweet),단맛,산미,탄닌감,바디감,탄산,중간,중간,없음,중간,없음
331,264 청포도 와인 절정 (Medium Dry),단맛,산미,탄닌감,바디감,탄산,약함,강함,없음,중간,없음
332,264 청포도 와인 광야 (Dry),단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
333,안동소주 일품 17% [6병/12병],고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,중간,중간,약함
334,안동소주 일품 21% [6병/12병],고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,중간
335,안동소주 일품 40% [6병/12병],고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,강함,강함
339,매실 향기 담은 술,단맛,산미,씁쓸,바디감,담백,중간,강함,중간,중간,중간
340,금산인삼주 수삼 23%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,중간,중간,약함
343,제주 허니와인 오어,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
344,제주 허니와인 오어 루비,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
345,려 증류소주 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,중간
346,설하담 X 2병,단맛,산미,담백,바디감,탄산,중간,중간,약함,약함,약함
350,동몽,단맛,산미,씁쓸,바디감,담백,중간,강함,중간,강함,중간
351,오크랜드 X 2병,단맛,산미,탄닌감,바디감,탄산,약함,강함,매우약함,중간,중간
352,금이산 복숭아 와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,약함,중간,없음
353,부자진 오미자,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,강함
354,금산인삼주 약주 [3병/6병/15병],단맛,산미,씁쓸,바디감,담백,약함,강함,약함,약함,약함
357,려 고구마 증류소주 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,강함,중간,중간
358,려 고구마 증류소주 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,매우강함,강함,중간
362,별산 막걸리 [3병/5병],단맛,산미,담백,바디감,탄산,강함,강함,중간,강함,없음
363,루드베리,단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,중간,중간
