score,product_id,product_name,comment
5.0,64,면천두견주 700ML (2병),"달콤하고 진득한 찹쌀 향이 인상적이었어요. 도수가 낮지 않은 편인데 그런 느낌이 전혀 안 드네요. 아주 부드러웠어요. 형제와 함께 반주로 마셨고 술만 마실 때는 그리 향이 강하거나 너무 세다는 인상이 없었는데, 마라와 먹었는데도 술맛이 마라향에 밀리지가 않더라고요^^ 그래도 마라 같은 자극적인 음식보다는 버섯구이 같은 담백한 음식이 확실히 더 향긋하고 잘 어울리는 듯합니다."
5.0,64,면천두견주 700ML 2병,삼키고 나서 향이 좋아요. 
4.0,64,면천두견주 700ML (2병),"하루 2~3잔 약주로 먹기에 좋네요. 약간 단맛과 끝에 쌉싸름한 맛이 있고, 진짜 약주로 하루 2~3잔 약주로 먹기에 좋네요. "
4.0,64,면천두견주 700ML (2병),부모님과 함께 먹었는데 소주와 같은 18도이지만 목넘김이 부드럽네요. 양도 넉넉해서 딱 좋았던거 같습니다.
5.0,64,면천두견주 700ML 2병,"시기를 잘못 맞추면 살수도 없는 두견주^^
정말 맛있네요. 향과 목넘김 맛 어느하나 모자람 없이 좋습니다. 술을 좋아하는 사람도 술알못도 모두 만족할만한 술임이 확실합니다"
4.0,64,면천두견주 700ML 2병,집들이 선물로 가져갔는데 다들 만족했어요 달아서 맛있어요 
5.0,64,면천두견주 700ML 2병,매화수 같은 느낌인데 더 고급졌어요! 
5.0,64,면천두견주 700ML 2병,"진국.
마치 반환점을 돌은 뷔페의 막판스퍼트 때 한 메뉴만 집중적으로 파듯이, 계속해서 주기적으로 마시고 싶다.
무덤까지 들고 가야겠다! 고고학자들 깜작놀라게!

맛은 마치 달콤한 요거트!"
4.0,64,면천두견주 700ML 2병,"진달래향이 정말 진하게 나요 
얼음타목어도 좋을만큼 진한맛이예요 
달달하고 ㅎㅎ 맛있어서 한병은 선물했는데 
얼을타먹게 또 주문해야겠어요 
알콜향때문에 술 싫어하시는 분들은 엄청 좋을듯 
"
5.0,64,면천두견주 700ML 2병,할아버지 할머님이 너무나도 좋아하셔서 최고였습니닷!! 맛도 깊고 달짝지근하면서도 특유의 진달래향과 약간의 뒷맛의 쌉싸름하며 살짝 쓴 술맛고 아주 조화롭고 좋았어요!!!
4.0,64,면천두견주 700ML 2병,양이 아쥬 낭낭해서 좋았고 순하고 향긋한 느낌이였어요 저는 혼자 먹었지만 어른들하고 같이 먹으면 스토리텔링도 되고 좋을것 같아요 병 패키지도 너무 예쁘구요 ㅎㅎ
5.0,64,면천두견주 700ML 2병,"어르신 혹은 부모님께 선물로 드리면 정말 좋은술. 디자인에서부터 스토리까지 정말 빠짐이 없는술. 정종을 좋아한다면 누구나 부담없이 즐길만한 술. 만약 다시한번 할인을 한다면 또 재구매의사 있고, 담화박스나 상시판매를 한다 하더라도 구매의사 충분함."
5.0,64,면천두견주 700ML 2병,"첫향은 부드럽고 달콤하다가 스파이시한 끝맛이 인상적이네요. 처음 마셨을때는 술이 좀 진하다고 느겼는데, 두번째 마셧을때는 또 진하지않고 좋다고 느꼈어요. 느낌이다른게 신기해서 다음에 한번더 마셔봐야겠어요"
5.0,64,면천두견주 700ML 2병,깔끔한 맛인데 좋은 향기가 나서 가족들과 다 극찬하며 맛있게 먹었어요
5.0,64,면천두견주 700ML 2병,달달하니 부드러워 마시기좋아요!
5.0,64,면천두견주 700ML 2병,추천받아 먹어봤는데 달달한게 맛있어요
5.0,64,면천두견주,살짝 씁쓸하면서도 부드러운 맛이 좋았어요
4.0,64,면천두견주,"외관
밝은 금빛입니다. 유리병에 담긴 모습을 보니 다소 뿌옇습니다. 뉴잉글랜드식 맥주의 탁함이 아닌 다소 구름 같은 탁함.


향
막걸리-독일식 밀맥주의 중간향이 납니다. 입안에서 굴릴 때 조금의 정향 같은 느낌도 있습니다. 이는 알콜의 싸함과 더불어 술이 단조로워지는 것을 막아줍니다. 이 정향의 특징이 첫느낌을 밀맥주 같다 판단한 결과인지, 부재료인 진달래의 느낌인지는 잘 모르겠습니다. 콩가루 뭍힌 떡같은 느낌을 받기도 했는데 그냥 감성일지도 모르겠습니다.


꽃의 느낌은 잘 모르겠습니다.


질감
맥주가 제 음주라이프의 영점이라 좀 애매하긴 한데 이 정도면 풀바디입니다. 입에 조금 넣고 굴릴 때는 몰랐는데 굴리지 않고 마시면서 질감 자체에 입술을 타고 들어오는 질감, 입-혓바닥-목구멍을 타고 넘어오는 흐름은 제법 무겁습니다. 만약 맥주였다면 '씹히는 듯한', '쫀득한'이라 말했을지도 모릅니다.


맛
입에 조금 넣고 굴리자마자 단맛이 퍼져나갑니다. 농밀합니다. 찹쌀로만 만든지라 단맛이 강합니다. 단맛 이면에 산미도 조금 있어 밀막걸리 같은 느낌도 조금 있습니다. 조금 구수한 맛도 남네요. 알콜은 싸한 느낌으로 존재하되, 도수높은 증류주처럼 자극적이거나, 소주마냥 역하지는 않습니다.

총평
기본적으로 전이나 보쌈, 족발 등과 드시는 걸 추천합니다. 꽃길만 걸으라는 의미로서 선물하기도 좋을 것 같습니다. 단맛이 강해 물리는 것만 조심해주신다면 그냥 마시기에도 괜찮습니다. 헤헤.
"
5.0,65,감사,술집에서 먹어보고 너무 맛있어서 주문합니다
4.5,65,감사,
5.0,65,감사,달달하고 깔끔해요.
4.5,65,감사,감사가선물용으로도 좋음!
5.0,65,[9+1] 감사,너무 독하지도 않구 부드러워서 좋았오요
5.0,65,감사,
5.0,65,감사 [9병 구매시 1병 증정],부모님께 드렸어요!!너무너무 좋아하셔서 또 사드리고 싶어요
